product_name,dosage_form,dosage_form_colour,dosage_form_shape,dosage_form_marking,adulterant_type,manufacturer_name,manufacturer_country
Darling Peculiar Hormone Cream 3g (爱人药霜),Cream,na,na,na,Lignocaine,na,HongKong SAR
De Guo Jin Gang Pen (德国金刚喷),Liquid (External Use),Brown,na,na,Lignocaine,Xi Zang Mei Long Bao Jian Pin You Xian Gong Si (西藏美龙保健品有限公司),China
Di Er Dai Ye Lang Shen 2000mg Capsule (第二代夜狼神),Capsule,Maroon,Oblong,na,Sildenafil,na,na
Di Liu Dai Yi Pao Dao Tian Liang 2000mg Yan Shi Jiao Nang (第六代一炮到天亮延时胶囊),Capsule,Black; Red,Oblong,宏源制造,Sildenafil; Tadalafil,Gui Zhou Hong Yuan Yi Yao Bao Jian Pin Gong Si (贵州宏源医药保健品公司),na
Ding Xin Brand YiLiShen 0.4g Capsule (鼎鑫牌蚁力神胶囊),Capsule,Orange; Grey,Oblong,蚁力神,Sildenafil,SinoNAforeign Joint Venture Shenyang Changgang Yibao Wine Co.; Ltd (中外合资沈阳长港蚁宝酒业有限公司),China
Dong Fang Bu Bai 800mg Tablet (东方不败强神粒),Tablet,Brown,Diamond,800mg,Sildenafil,La Sa Shi Li Da Bao Jian Pin You Xian Gong Si (拉萨市力达保健品有限公司),China
Drpharm Brand Emperor Capsule 0.5g (博龍牌黄帝聖丹膠囊),Capsule,Blue; Transparent,Oblong,黄帝聖丹 (SUPER),Sildenafil,Zhong Guo Hai Nan Bo Da Zhi Yao Chang (中国.海南博大制药厂),China
Durable Ares Male Sexual Stimulant,Tablet,Maroon,Oval,na,Sildenafil; Chloramphenicol; Imidazosagatriazinone,na,HongKong SAR
expressherbals No.1 Mens Supplement Worldwide 500mg Capsule,Capsule,White,Oblong,na,Sildenafil,na,na
Forta Plus for Men,Capsule,Brown,Oblong,na,Nortadalafil,na,United States
France T253,Tablet,Green,Oblong,T253,Sildenafil,La sha City a dragon living creature technique limited company Tibet,Tibet
French Silver Fox 2800mg Powder (法国银狐),Powder (Internal Use),White,na,na,Lignocaine,Shenzhen long fresh hall biology health care limited company (深圳久生堂生物保健有限公司),China
Han Mei Tang Brand Zuo Xuan Rou Jian LNACarnitine 400mg Capsules (瀚美堂左旋肉碱),Capsule,Green,Oblong,na,Phenolphthalein; Sibutramine; Desmethylsibutramine,Guangzhou Changsheng Tang Shengwu Keji You Xian Gong Si (广州长生堂生物科技有限公司),China
Heng Yue Brand Jiu Bian Li 600mg Tablet (恒悦牌九鞭粒),Tablet,Blue,Diamond,九鞭粒 600mg,Sildenafil,La Sa Shi Heng Yue Bao Jian Pin You Xian Gong Si (拉萨市恒悦保健品有限公司),China
HighNAPowered Spray (威の猛男用延时喷剂),Spray,na,na,na,Lignocaine,Tian Jin Shi Ji Yuan Bao Jian Yong Pin Chang (天津市纪元保健用品厂),na
Hong Sheng Brand Ye Ye Bu Dao 2500mg Tablet (宏圣牌夜夜不倒),Tablet,Yellow,Teardrop,C100,Sildenafil,na,na
Hong Sheng Sheng Wu Brand  Li Jia Li (exceed vigra and cialis 3500 mg) Capsule (宏圣生物牌力加力),Capsule,Green,Oblong,na,Sildenafil,Hong Kong Hong Sheng Sheng Wu Yi Yao Yan Jiu Zhong Xin (香港宏圣生物医药研究中心),na
HongKong Ren He Tong Brand Lang Wang 3000mg Tablet (香港仁和堂牌狼王),Tablet,Blue,Diamond,DL,Sildenafil,Xiang Gang Ren He Tang Sheng Wu Yan Fa You Xian Gong Si (香港仁和堂生物研发有限公司),HongKong SAR
HongKong Ren He Tong Brand Real Man 3000mg Tablet,Tablet,Yellow,Diamond,DL,Sildenafil,Hong Kong RenHeTong Biological Research Limited,HongKong SAR
HR Brand Jing Ba Su Bo Jiao Nang 1800mg (HR牌劲霸速勃胶囊),Capsule,White,Oblong,na,Sildenafil,China HongKong HuaRen ShengWu GongCheng Co.; Ltd (中国香港华人生物工程有限公司),HongKong SAR
